"Method","HarmonyNoMinOpts","CecilNoMinOpts","HarmonyManifestStatus"
"SampleApp.Stamped..ctor(System.Guid,System.DateTime,System.String)","0","1602","Patched"
"SampleApp.Probes.Stamp(SampleApp.Stamped)","0","1602","Patched"
"SampleApp.ErrorProbes.Readable(SampleApp.Wrapper`1[[System.Int32, System.Private.CoreLib, Version=8.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]])","0","1601","Patched"
"SampleApp.DeepNode.Build(System.Int32)","1278","1278","Patched"
"SampleApp.DeepNode..ctor(System.Int32,SampleApp.DeepNode,SampleApp.DeepNode)","0","1278","Patched"
"SampleApp.Catalog..ctor()","15","15","Patched"
"SampleApp.InventoryClient..ctor(SampleApp.Catalog)","0","10","Patched"
"SampleApp.Catalog.IsKnown(System.String)","7","9","Patched"
"SampleApp.OrderService..ctor(SampleApp.Catalog,SampleApp.InventoryClient)","0","9","Patched"
"SampleApp.InventoryClient.ReserveCount(System.String)","7","8","Patched"
"SampleApp.Coupon..ctor(System.String,System.Int32,System.Decimal)","0","7","Patched"
"SampleApp.OrderService.ApplyDiscount(System.Decimal,System.Int32)","5","7","Patched"
"SampleApp.Catalog.UnitPrice(System.String)","7","7","Patched"
"SampleApp.Cyclic..ctor(System.String)","0","6","Patched"
"SampleApp.SettingsParser.Apply(System.String)","5","5","Patched"
"SampleApp.ShippingCalculator.ShippingCost(System.Decimal)","5","5","Patched"
"SampleApp.ShippingCalculator.TotalWithShipping(System.Decimal)","0","5","Patched"
"SampleApp.ShippingCalculator.IsFreeShipping(System.Decimal)","5","5","Patched"
"SampleApp.ShippingCalculator..ctor()","0","5","Patched"
"SampleApp.PricingRules.Price(SampleApp.Quote,System.Decimal)","0","4","Patched"
"SampleApp.Quote..ctor(System.String,SampleApp.Coupon)","0","4","Patched"
"SampleApp.Probes.Traverse(SampleApp.Cyclic)","0","3","Patched"
"SampleApp.Cyclic.Loop(System.String)","3","3","Patched"
"SampleApp.Probes.BuildSetWithRemovals()","2","2","Patched"
"SampleApp.Probes.Relate(SampleApp.Pair)","0","2","Patched"
"SampleApp.Probes.LongText(System.Int32)","2","2","Patched"
"SampleApp.Probes.Descend(SampleApp.DeepNode)","0","2","Patched"
"SampleApp.Probes.UseServices(SampleApp.ServiceHolder)","0","2","Patched"
"SampleApp.ServiceHolder..ctor(System.String)","2","2","Patched"
"SampleApp.Pair..ctor(System.Object,System.Object)","0","2","Patched"
"SampleApp.Catalog.SkusUnder(System.Decimal)","2","2","Patched"
"SampleApp.ErrorProbes.Unreadable(SampleApp.Wrapper`1[[SampleApp.Unreadable, SampleApp, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]])","0","2","Patched"
"SampleApp.Probes.BuildDictionaryWithRemovals()","2","2","Patched"
"SampleApp.SideEffectProbe..ctor(System.Int32)","0","1","Patched"
"SampleApp.SkippedSubtree.Parent(System.Int32)","0","1","Patched"
"SampleApp.DeepChain.LevelFour(System.Int32)","0","1","Patched"
"SampleApp.DeepChain.LevelOne(System.Int32)","0","1","Patched"
"SampleApp.DeepChain.LevelThree(System.Int32)","0","1","Patched"
"SampleApp.ErrorProbes.UnreadableOther(SampleApp.Wrapper`1[[SampleApp.AlsoUnreadable, SampleApp, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]])","0","1","Patched"
"SampleApp.DeepChain.LevelTwo(System.Int32)","0","1","Patched"
"SampleApp.DeepChain.Passthrough(System.Int32)","0","1","Patched"
"SampleApp.Probes.ObservedCalls()","0","1","Patched"
"SampleApp.Probes.Inspect(SampleApp.SideEffectProbe)","0","1","Patched"
"SampleApp.DeepChain.Unaffected(System.Int32)","0","1","Patched"
"SampleApp.PartialSubtree.Parent(System.Int32)","1","1","Patched"
"SampleApp.PartialSelf.Build(System.Int32)","1","1","Patched"
"SampleApp.Tests.OrderServiceTests.Quote_faults_when_inventory_reports_out_of_stock()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Quote_faults_on_invalid_quantity_before_any_await()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Quote_applies_bulk_discount_above_ten_units()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.NewService()","4","0","Patched"
"SampleApp.Tests.OrderServiceTests.Graphs_differing_only_in_a_private_field_price_identically()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Generic_members_still_run_even_though_they_cannot_be_traced()","1","0","Patched"
"SampleApp.Tests.LoadGenerator.Run(System.String)","4","0","Patched"
"SampleApp.Tests.OrderServiceTests.Catalog_lists_skus_under_a_price_cap()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests..ctor()","10","0","Patched"
"SampleApp.Tests.DowngradeTests.Diverging_parent_over_a_partial_child()","1","0","Patched"
"SampleApp.Tests.DowngradeTests.Diverging_parent_over_an_uninstrumentable_child()","1","0","Patched"
"SampleApp.Tests.DowngradeTests.Diverging_node_whose_own_value_is_truncated()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Excluded_namespace_still_runs()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Quote_without_discount_below_ten_units()","1","0","Patched"
"SampleApp.Tests.ShippingTests.Explicit_threshold_overrides_the_default()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Unit_price_throws_for_unknown_sku()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsA..ctor()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsA.Emits_many_events()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsB..ctor()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsB.Emits_many_events()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsC..ctor()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsC.Emits_many_events()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsD..ctor()","1","0","Patched"
"SampleApp.Tests.ParallelLoadTestsD.Emits_many_events()","1","0","Patched"
"SampleApp.Tests.ShippingTests..ctor()","5","0","Patched"
"SampleApp.Tests.ShippingTests.Configured(System.String)","5","0","Patched"
"SampleApp.Tests.ShippingTests.Order_below_threshold_pays_shipping()","1","0","Patched"
"SampleApp.Tests.DowngradeTests.Deep_origin_with_shallow_consequences()","1","0","Patched"
"SampleApp.Tests.ShippingTests.Order_above_threshold_ships_free()","1","0","Patched"
"SampleApp.Tests.OrderServiceTests.Reflectively_loaded_assembly_arrives_after_startup()","1","0","Patched"
"SampleApp.Tests.DowngradeTests..ctor()","4","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Cyclic_graphs_terminate()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof7_blocklisted_shapes_are_skipped_not_walked()","1","0","Patched"
"SampleApp.InventoryClient.IsInStockAsync(System.String)","7","0","Patched"
"SampleApp.OrderService.QuoteAsync(System.String,System.Int32)","8","0","Patched"
"SampleApp.Tests.ConcurrentLoadTests..ctor()","1","0","Patched"
"SampleApp.Tests.ConcurrentLoadTests.Assemblies_loading_concurrently_are_all_enqueued()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests..ctor()","16","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Blocklisted_shapes_are_not_walked()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Catalog_knows_its_own_skus()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Catalog_price_cap_excludes_expensive_skus()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Collections_of_every_shape_are_digested()","1","0","Patched"
"SampleApp.Tests.ShippingTests.Small_order_always_pays_shipping()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Discount_applies_only_above_threshold()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Inventory_reserves_by_sku_length()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Nested_graphs_reach_the_depth_limiter()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.NewService()","5","0","Patched"
"SampleApp.Tests.DigestProofTests.Rendered_text_is_truncated_while_the_hash_covers_the_whole_value()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Out_of_stock_still_faults()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Price_cache_round_trips_a_value()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Pricing_rules_apply_coupon_tiers()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Quote_gadget_bulk()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Quote_widget_at_discount_boundary()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Quote_widget_single_unit()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Unknown_sku_still_throws()","1","0","Patched"
"SampleApp.Tests.DigestProofTests..ctor()","9","0","Patched"
"SampleApp.Tests.DigestProofTests.A_field_that_cannot_be_read_is_marked_not_omitted()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Depth_limiter_fires_on_a_graph_past_the_cap()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof1_digestion_invokes_no_overridable_member()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof2_cyclic_graph_terminates()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof4_shared_node_differs_from_two_equal_copies()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof5_same_input_digests_identically_within_and_across_runs()","1","0","Patched"
"SampleApp.Tests.DigestProofTests.Proof6_guid_and_datetime_are_normalized_away()","1","0","Patched"
"SampleApp.Tests.CoverageBreadthTests.Price_cache_misses_report_default()","1","0","Patched"
"SampleApp.Tests.ShippingTests.Totals_are_never_negative()","1","0","Patched"
